artist|title|spotid
Katie Ellen | Drawing Room | 4r3kqf9JvJ94FQ0zPDudEp
Shannon Purser | Sunflower - Movie Version | 6U69qMotAJ4T8GhDd0pkH2
Billie Eilish, TroyBoi | MyBoi - TroyBoi Remix | 1T3E8z6VMXSsACrBSQHTkN
Death Valley Girls | Disaster (Is What We’re After) | 1o6tvSUSU5gW6KQoc0xRYE
Lily Allen | Smile | 3NK28cXAkO5JIM7YOiCQAx
Letters To Cleo | I Want You to Want Me | 3DcPLPvsZPcFcYfMPMfh4e
Billie Eilish | come out and play | 7wC5eZcFS1Q1BsQ35DU6H4
The Cramps | The Way I Walk | 6dyku3NZZukkS8yhzWG9TU
Björk | Hyper-ballad | 3jIzAeh7fhe70umAJrY3Fk
Björk | Human Behaviour | 6Kz3o55LxMA11GbvFXHFtX
Five Knives | Money | 1ajZzqF0lW22QJnLrHvfZ1
Stephen Barton | Apex Legends: Main Theme | 0cdLXNrKZaeEEtia0tKvWS
Lil Peep, XXXTENTACION | Falling Down - Bonus Track | 4jvjzW7Hm0yK4LvvE0Paz9
Screaming Females | I'll Make You Sorry | 5Kd4uMRkIeLJ1xYQ4tBPlf
The Regrettes | Picture Perfect | 4Nrorj0djHyYTWGiTIZ0Ts
The Regrettes | You Won't Do | 4roHl7eAKrZi8bQ7m3Mmt5
The Regrettes | Hot | 2vccJPCDBEcqWkIXuaQ4QT
The Regrettes | Ladylike / WHATTA BITCH | 0J01Oyc3oHAJqcLHCQ5QTG
The Regrettes | Bronze | 1ygjL2CiEX1cVhO935ySBo
The Regrettes | I Don't Like You | 5Euu7npHnY3jaJiNuVoU7m
The Regrettes | Pale Skin | 5CMAVxu1z0trUJ30aJqDa2
The Regrettes | 'Til Tomorrow | 6gbNqlY5qRvmi5aCozV7L4
The Regrettes | Lacy Loo | 6vUheAh6eR6gWqOOEzMwYC
The Regrettes | Head in the Clouds | 3yO6dQqxHahNHhR5tpzjXt
The Regrettes | How It Should Be | 4efZONzw2fKwyUinfCDYgD
The Regrettes | Hey Now | 41Y5xGsXi5rPot2l2i6Lkr
The Regrettes | Juicebox Baby | 6tCzdSFIpoBdEsqWJePfBN
The Regrettes | A Living Human Girl | 1K0F79D6b7XGDM667RpnsW
The Regrettes | Pumpkin | 2eATeIjNYm42AzAXYeSi6m
Seether | Remedy | 5ynxx6zC4dgzsMHLYQ04Dc
Ghost | Miasma | 7Le5UXQgzpsbK8oaEYGG6T
Papa Roach | ...To Be Loved | 5c3PZBx6bFeRg5Pvg2t1IQ
Papa Roach | Getting Away With Murder | 40dHZ1HyySmu9FmTINRbqM
Papa Roach | Between Angels And Insects | 24z528iI9kZu5LbkLainjI
Papa Roach | Blood Brothers | 2Ll44WxlG2eiqL6NtEnf8M
Papa Roach | Last Resort | 5W8YXBz9MTIDyrpYaCg2Ky
Papa Roach | She Loves Me Not | 1eRgyfyizDWISeS99kwLNC
